TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist
295670281;140.7367004;154.8480884;118.0894193;0.208766975;0.19434141
295670312;140.7223884;154.3180463;118.0653651;0.208689904;0.200526596
295670343;138.505195;156.4325324;118.2545481;0.207497915;0.244967389
295670390;137.3268788;160.7857262;118.3512617;0.207124053;0.245004061
295670406;137.2526966;161.5535082;118.4505777;0.206480133;0.244950377
295670453;134.6556001;172.4765572;118.4871521;0.206476593;0.245056692
295670468;136.624688;167.4981088;118.5461112;0.206296846;0.244861811
295670515;141.027;161.5166823;118.5008149;0.206427761;0.196089831
295670546;141.0047619;161.3290162;118.2115152;0.209654194;0.192241605
295670578;141.0296833;158.628544;118.2317823;0.209127628;0.193083598
295670609;140.9009187;156.5231417;118.3644742;0.208685808;0.193851801
295670640;140.4545566;154.748373;118.3987935;0.2083569;0.202347284
295670671;137.7476982;157.3792636;118.4084926;0.207937092;0.244603528
295670703;137.5063372;158.6631593;118.5574976;0.206308117;0.244570734
295670750;134.481835;171.6896724;118.5296434;0.206090783;0.244714344
295670781;134.5079291;173.0679019;118.4991658;0.205812286;0.244670506
295670812;134.493616;171.766107;118.5043038;0.205921582;0.244627985
295670843;134.530445;172.3027246;118.4541577;0.206018888;0.244586069
295670890;134.6789957;171.6607319;118.2242821;0.207716314;0.244557732
295670921;134.6757035;171.603235;118.1987737;0.207731207;0.244525802
295670953;134.7257802;171.661929;118.0662768;0.208860822;0.244502248
295670968;134.7216029;171.2864405;117.9418287;0.209543281;0.244482338
295671015;134.7747857;170.8087185;117.8231655;0.210225368;0.244466707
295671046;134.8074662;170.6690722;117.7160976;0.210725601;0.244453339
295671078;134.7494265;171.0505248;117.7459686;0.210786225;0.244440235
295671109;134.8024742;171.0403166;117.6659084;0.210985967;0.244427188
295671140;134.7949967;171.4483483;117.6055699;0.211398077;0.244417605
295671171;134.5881624;172.564101;117.6960167;0.210516215;0.244400856
295671203;134.4818359;174.3790389;117.7191125;0.210726354;0.244385281
295671250;134.3746299;175.0568513;117.742617;0.210559525;0.244372143
295671281;134.3684001;174.9097153;117.6541695;0.21060373;0.244362417
295671312;134.3871246;174.4223718;117.7140514;0.209996364;0.244342398
295671343;134.4456129;173.51402;117.7908765;0.209084966;0.244319002
295671375;134.6980746;171.8273808;117.7001199;0.21024061;0.244315069
295671406;134.7472014;170.8239625;117.6138308;0.210658897;0.244302337
295671453;134.7798899;171.075847;117.6020105;0.210672222;0.244289159
295671468;134.7084537;171.6291366;117.7362163;0.209727044;0.244269333
295671515;134.7230653;171.4659706;117.8116628;0.209343925;0.244246483
295671546;134.7080885;171.4816862;117.8932802;0.208866124;0.24422302
295671578;134.6663778;171.5194515;118.1896689;0.206368467;0.244186371
295671609;134.7982542;171.4818814;118.0672896;0.207222278;0.244160723
295671640;134.8128883;171.8593596;118.0748179;0.207039232;0.244132855
295671671;134.7891033;171.7589717;118.0822488;0.206854777;0.244104897
295671718;134.7438836;172.1190805;118.2104453;0.206272555;0.244073792
295671734;134.6202196;173.1092081;118.2783476;0.206273136;0.244044462
295671765;134.6628456;173.1661556;118.2502109;0.206967481;0.244019312
295671812;134.4666596;174.9779083;118.2903593;0.206516158;0.243992602
295671843;134.4481016;175.5816867;118.4643106;0.20521275;0.243953724
295671875;136.9555039;162.3014293;118.6142212;0.20429026;0.243800687
295671906;139.6497314;157.7555984;118.703267;0.203816927;0.226886341
