TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist;;;;;
4857328;97.09342361;170.794005;156.4807332;0.249766785;0.215047951;;;;;
4857359;96.70815549;170.3725338;156.6221254;0.249241064;0.216554192;;;;;
4857390;96.61157571;170.2350939;156.6367451;0.249558047;0.216400274;;;;;
4857421;95.67441853;171.5350514;156.6445904;0.248323307;0.215952507;;;;;
4857453;95.2678645;170.1735793;156.3926742;0.248338475;0.214219069;;;;;
4857484;95.73937878;173.9625157;155.8366763;0.248862062;0.224407051;;;;;
4857531;95.65255471;173.1812918;155.6868764;0.248510888;0.225543726;;;;;
4857562;95.86283129;173.1203548;155.4245599;0.247936252;0.227808808;;;;;
4857593;97.06567936;175.8706793;155.039023;0.247031675;0.231206256;;;;;
4857625;97.99789494;176.9142662;154.9588756;0.246478005;0.231124977;;;;;
4857656;99.29876597;175.3500501;154.396992;0.246715309;0.225632601;;;;;
4857687;98.70385957;174.4965573;154.4206737;0.246243427;0.22329855;;;;;
4857718;98.6496868;175.4018494;154.2522968;0.245098835;0.2223221;;;;;
4857750;98.55023197;175.945944;153.9480396;0.243953108;0.222710237;;;;;
4857781;97.49541606;176.8760419;153.448168;0.24255831;0.229270639;;;;;
4857828;96.07240215;177.1652032;153.2065248;0.241224101;0.250878171;;;;;
4857859;95.75067578;177.9802616;152.8816769;0.241000052;0.25351973;;;;;
4857890;95.59985222;177.5965751;152.4527766;0.241648274;0.252828587;;;;;
4857921;95.42541966;176.3385113;152.2369953;0.241668024;0.251949113;;;;;
4857953;105.0683788;173.1590746;156.6463698;0.220223601;0.224449092;;;;;
4857984;105.5680427;171.1214058;157.7737981;0.219447392;0.221674441;;;;;
4858015;103.7210059;173.9482884;156.9277191;0.223020536;0.230085229;;;;;
4858062;99.86526383;175.0300216;153.2209952;0.230905487;0.239943849;;;;;
4858093;102.6017357;174.113593;153.755086;0.224981815;0.226935315;;;;;
4858125;106.2203076;173.8532137;157.1262688;0.228459654;0.218724659;;;;;
4858156;106.6608997;172.7112974;157.5081173;0.228729731;0.212238063;;;;;
4858187;109.2206302;174.0352391;157.8496765;0.23350662;0.216922784;;;;;
4858218;108.2481495;174.4428816;157.8437688;0.225314018;0.223280589;;;;;
4858250;102.3807764;174.8795358;154.7672159;0.228766065;0.237970119;;;;;
4858296;100.3587443;172.5455378;153.1839875;0.245167698;0.236761458;;;;;
4858328;102.7873966;173.8945121;152.4255297;0.242466651;0.229086496;;;;;
4858359;97.95935556;175.478281;152.1816247;0.230435331;0.238327519;;;;;
4858390;96.92698794;174.5533181;150.6533971;0.242150554;0.229446641;;;;;
4858421;96.86749512;174.4517399;149.3612279;0.243340202;0.228700157;;;;;
4858453;96.76151848;174.2990207;148.2280616;0.243258109;0.228984344;;;;;
4858484;97.54824334;175.4882767;147.8627817;0.243732127;0.230241863;;;;;
4858531;93.94026777;175.2778173;141.9899101;0.238854701;0.249591144;;;;;
4858562;93.88428303;176.2672397;141.2503634;0.238910451;0.254577288;;;;;
4858593;93.7902633;176.5951338;140.5894589;0.239714862;0.255507747;;;;;
4858625;93.12742406;175.6737259;140.3177135;0.242103653;0.255506892;;;;;
4858656;92.79605695;174.7888962;140.3732726;0.243460704;0.255516324;;;;;
4858687;90.16710891;173.3209867;136.7047434;0.241971276;0.255512974;;;;;
4858718;90.94333279;172.2653913;135.4339055;0.239033825;0.25552966;;;;;
4858750;92.40832097;174.6330313;135.0942312;0.237953691;0.255558282;;;;;
4858796;93.59727474;174.725848;134.7810468;0.237824828;0.255608839;;;;;
4858828;106.237566;172.9788113;139.4440128;0.25671745;0.212773899;;;;;
