TimeStamp;AngleElbowRight;AngleWristRight;AngleShoulderRight;AngleElbowLeft;AngleWristLeft;AngleShoulderLeft;LShoulderElbow;LElbowWrist
297563656;137.4397029;126.4314049;120.4884119;105.475587;151.8497996;128.33734;0.191108284;0.19917977
297563687;138.4014769;122.868083;120.8251164;102.3901839;151.4420951;129.4166584;0.187826803;0.197483928
297563718;137.911739;119.7045767;120.9891429;100.5489654;150.7053584;129.5479795;0.191395275;0.194553371
297563750;137.7747624;146.8168022;121.4289242;117.9088086;123.8217355;122.732007;0.191914205;0.1938187
297563781;137.6931319;152.557142;122.4305517;105.8624267;139.7586042;123.316302;0.191727967;0.19331815
297563812;137.5630066;152.4228022;125.0267336;105.5713623;128.8641507;123.6993133;0.193131997;0.1915601
297563843;137.6158389;152.702187;126.0108185;104.1980945;131.4598135;123.9727552;0.19333194;0.190860117
297563875;131.5270373;155.7313217;124.2153289;102.9861691;131.977664;124.2249692;0.219657122;0.192038937
297563921;127.6258638;169.0964606;124.2361169;101.2072903;133.2008365;124.4326648;0.221468115;0.225382735
297563953;128.9889082;166.387198;126.2687806;100.0319833;134.18455;124.1115927;0.206773311;0.225296556
297563984;129.0675104;166.4398623;127.9105626;98.94878388;134.3965241;123.9299017;0.205099972;0.225287062
297564015;129.1252077;166.549383;128.0045306;98.28011918;139.7061853;123.8273183;0.204599664;0.225282573
297564046;129.124604;166.6102576;128.508313;97.55966255;142.1042729;123.6751829;0.203866499;0.225277738
297564093;132.7709146;163.0467936;128.6253909;97.34111342;146.8563663;123.5571124;0.203162547;0.215661351
297564109;132.8777597;163.0706348;128.7287539;97.19299379;148.3509839;123.609531;0.202333369;0.215960748
297564156;135.7148596;162.3506224;128.7061346;97.13527036;150.8950482;123.669055;0.201924951;0.189734459
297564187;133.9812292;163.378381;128.7951456;97.14005909;150.8464534;123.7125464;0.201131108;0.207375405
297564218;133.6953481;163.4832746;128.8081274;97.2489702;153.0279856;123.7238044;0.200704402;0.211318865
297564250;134.9964492;162.8275292;128.8573023;97.34628075;154.1551657;123.7083454;0.20051876;0.198168059
297564281;135.6619524;163.046745;128.8607015;97.5959873;154.1970484;123.6884443;0.200017921;0.192190005
297564312;135.7729767;162.6471442;128.8663677;97.68360194;154.0285201;123.6032899;0.200031012;0.191210619
297564343;133.7813544;163.7521482;128.8495585;97.66611682;154.0271785;123.6430259;0.199630385;0.21282809
297564375;129.8347921;167.5560278;128.8796724;97.81933371;154.8076244;123.6876365;0.199257571;0.225251531
297564421;129.869975;167.4348303;128.8250248;98.00310101;153.6364827;123.7374775;0.199071367;0.225252687
297564453;129.8313758;167.4145706;128.8340127;98.94979416;152.517517;123.7455275;0.199032529;0.225254073
297564484;129.6253574;167.053989;128.8604722;99.37903074;150.4351967;123.6240406;0.198487203;0.225269012
297564515;129.6678082;167.0365262;128.8732569;99.84629922;149.4916245;123.5884524;0.198194997;0.22526833
297564546;129.7529845;166.9676662;128.8365825;100.5079012;147.161531;123.4838003;0.197925306;0.225266191
297564578;129.7626137;166.8246317;128.827357;100.6757585;147.8473787;123.4142005;0.197950749;0.225265761
297564609;129.7704668;166.8507706;128.8206465;101.1276649;144.881571;123.4589614;0.197822942;0.22526632
297564656;129.7654967;166.8564738;128.796754;101.4477401;145.8705714;123.4250717;0.197719726;0.225266774
297564687;129.7900201;166.8195863;128.7639414;101.4077474;147.4345143;123.4902151;0.197681162;0.225266267
297564718;129.8287583;166.7860131;128.7115806;101.8108703;148.6029458;123.5696002;0.19744704;0.225265568
297564750;129.907438;166.6076847;128.6046027;102.1043247;148.4444706;123.4698394;0.197308708;0.225263903
297564781;129.897735;167.0353086;128.4421397;102.9370111;147.0346401;123.4605185;0.19743776;0.225263216
297564812;129.8113181;166.9871815;127.8353818;104.0658298;149.1902503;123.6692794;0.197773967;0.225260779
297564843;129.8288347;167.1845459;127.2795451;111.9023987;136.0663777;123.6326564;0.197717579;0.225258031
297564890;133.2343707;163.8476558;126.8863999;112.3095513;141.1131987;123.9499676;0.197870207;0.221568465
297564921;129.7634496;168.2147086;126.2494005;113.6418037;145.32299;124.2325197;0.197949729;0.225257897
297564953;132.1519351;164.1320828;125.4227081;115.5325444;146.5135303;124.2576075;0.198212302;0.2251092
297564984;136.3693726;154.0764133;124.7511986;116.0099166;146.698917;124.7343018;0.19795839;0.185926889
